word,url,extracted_etymology,notes
աբեղա,https://hy.wiktionary.org/wiki/աբեղա,,
ագաթ,https://hy.wiktionary.org/wiki/ագաթ,,
ազբ,https://hy.wiktionary.org/wiki/ազբ,,
ախտ,https://hy.wiktionary.org/wiki/ախտ,,
ականջ,https://hy.wiktionary.org/wiki/ականջ,,
աղանձ,https://hy.wiktionary.org/wiki/աղանձ,,
աղոթք,https://hy.wiktionary.org/wiki/աղոթք,,
աղջիկ,https://hy.wiktionary.org/wiki/աղջիկ,,
ամիս,https://hy.wiktionary.org/wiki/ամիս,,
ամպ,https://hy.wiktionary.org/wiki/ամպ,,
այտ,https://hy.wiktionary.org/wiki/այտ,,
անգ,https://hy.wiktionary.org/wiki/անգ,,
անել,https://hy.wiktionary.org/wiki/անել,,
անիծ,https://hy.wiktionary.org/wiki/անիծ,,
անձ,https://hy.wiktionary.org/wiki/անձ,,
անձավ,https://hy.wiktionary.org/wiki/անձավ,,
անձրև,https://hy.wiktionary.org/wiki/անձրև,,
անութ,https://hy.wiktionary.org/wiki/անութ,,
անուր,https://hy.wiktionary.org/wiki/անուր,,
անց,https://hy.wiktionary.org/wiki/անց,,
աչք,https://hy.wiktionary.org/wiki/աչք,,
ապուր,https://hy.wiktionary.org/wiki/ապուր,,
ապտակ,https://hy.wiktionary.org/wiki/ապտակ,,
առիք,https://hy.wiktionary.org/wiki/առիք,,
առնետ,https://hy.wiktionary.org/wiki/առնետ,,
ասեղ,https://hy.wiktionary.org/wiki/ասեղ,,
աստղ,https://hy.wiktionary.org/wiki/աստղ,,
ասք,https://hy.wiktionary.org/wiki/ասք,,
ավազ,https://hy.wiktionary.org/wiki/ավազ,,
ավել,https://hy.wiktionary.org/wiki/ավել,,
ավլել,https://hy.wiktionary.org/wiki/ավլել,,
ատամ,https://hy.wiktionary.org/wiki/ատամ,,
ատել,https://hy.wiktionary.org/wiki/ատել,,
արծիվ,https://hy.wiktionary.org/wiki/արծիվ,,
արոս,https://hy.wiktionary.org/wiki/արոս,,
արոր,https://hy.wiktionary.org/wiki/արոր,,
արքա,https://hy.wiktionary.org/wiki/արքա,,
արև,https://hy.wiktionary.org/wiki/արև,,
աքիս,https://hy.wiktionary.org/wiki/աքիս,,
բաժ,https://hy.wiktionary.org/wiki/բաժ,,
բակ,https://hy.wiktionary.org/wiki/բակ,,
բակլա,https://hy.wiktionary.org/wiki/բակլա,,
բայ,https://hy.wiktionary.org/wiki/բայ,,
բանել,https://hy.wiktionary.org/wiki/բանել,,
բաննա,https://hy.wiktionary.org/wiki/բաննա,,
բառ,https://hy.wiktionary.org/wiki/բառ,,
բավիղ,https://hy.wiktionary.org/wiki/բավիղ,,
բեհեզ,https://hy.wiktionary.org/wiki/բեհեզ,,
բեյթ,https://hy.wiktionary.org/wiki/բեյթ,,
բեռ,https://hy.wiktionary.org/wiki/բեռ,,
բյուրեղ,https://hy.wiktionary.org/wiki/բյուրեղ,,
բիբ,https://hy.wiktionary.org/wiki/բիբ,,
բիթ,https://hy.wiktionary.org/wiki/բիթ,,
բլոգ,https://hy.wiktionary.org/wiki/բլոգ,,
բլուր,https://hy.wiktionary.org/wiki/բլուր,,
բղուղ,https://hy.wiktionary.org/wiki/բղուղ,,
բմբուլ,https://hy.wiktionary.org/wiki/բմբուլ,,
բնագիր,https://hy.wiktionary.org/wiki/բնագիր,,
բազմանալ,https://hy.wiktionary.org/wiki/բազմանալ,,
բազրիք,https://hy.wiktionary.org/wiki/բազրիք,,
բաժանորդ,https://hy.wiktionary.org/wiki/բաժանորդ,,
բալատուր,https://hy.wiktionary.org/wiki/բալատուր,,
բաղկանալ,https://hy.wiktionary.org/wiki/բաղկանալ,,
բաղձալ,https://hy.wiktionary.org/wiki/բաղձալ,,
բաղձանք,https://hy.wiktionary.org/wiki/բաղձանք,,
բաղնիք,https://hy.wiktionary.org/wiki/բաղնիք,,
բամբիշ,https://hy.wiktionary.org/wiki/բամբիշ,,
բարեկամ,https://hy.wiktionary.org/wiki/բարեկամ,,
բարևել,https://hy.wiktionary.org/wiki/բարևել,,
բացառել,https://hy.wiktionary.org/wiki/բացառել,,
բացել,https://hy.wiktionary.org/wiki/բացել,,
բժշկել,https://hy.wiktionary.org/wiki/բժշկել,,
բյուր,https://hy.wiktionary.org/wiki/բյուր,,
բյուրեղյա,https://hy.wiktionary.org/wiki/բյուրեղյա,,
բյուրեղացնել,https://hy.wiktionary.org/wiki/բյուրեղացնել,,
բյուրեղացում,https://hy.wiktionary.org/wiki/բյուրեղացում,,
բնագիր,https://hy.wiktionary.org/wiki/բնագիր,,
բնություն,https://hy.wiktionary.org/wiki/բնություն,,
բնութագիր,https://hy.wiktionary.org/wiki/բնութագիր,,
բնութագրել,https://hy.wiktionary.org/wiki/բնութագրել,,
բնութագիրք,https://hy.wiktionary.org/wiki/բնութագիրք,,
բնութագիրություն,https://hy.wiktionary.org/wiki/բնութագիրություն,,
բնութագիրական,https://hy.wiktionary.org/wiki/բնութագիրական,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,,
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,,
